seqid	BAQ1370.1.3	BAQ1552.1.1	BAQ2420.1.1	BAQ2420.1.2	BAQ2420.1.3	BAQ2420.2	BAQ2420.3	BAQ2462.1	BAQ2462.2	BAQ2462.3	BAQ2687.1	BAQ2687.2	BAQ2687.3	BAQ2838.1	BAQ2838.2	BAQ2838.3	BAQ3473.1	BAQ3473.2	BAQ3473.3	BAQ4166.1.1	BAQ4166.1.2	BAQ4166.1.3	BAQ4166.2	BAQ4166.3	BAQ4697.1	BAQ4697.2	BAQ4697.3	BAQ895.2	BAQ895.3	YUN1005.1.1	YUN1005.3	YUN1242.1	YUN1242.2	YUN1242.3	YUN1609.1	YUN2029.1	YUN2029.2	YUN3008.1.3	YUN3008.2	YUN3008.3	YUN3153.1	YUN3153.2	YUN3153.3	YUN3184.1	YUN3184.2	YUN3259.1.1	YUN3259.1.2	YUN3259.1.3	YUN3259.2	YUN3259.3	YUN3346.1	YUN3346.2	YUN3346.3	YUN3428.1	YUN3428.2	YUN3428.3	YUN3533.1.1	YUN3533.1.2	YUN3533.1.3	YUN3533.2	YUN3533.3	YUN3856.1.1	YUN3856.1.2	YUN3856.1.3	YUN3856.2	YUN3856.3
409faa5f5353e543bf6d99125c7c0e83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	34	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	246	53	175	60	0	426	674	194	381	0	1815	0	451	0
a7b877ae6d2f079a15b6b192a4425620	0	0	0	71	65	106	128	141	63	220	0	21	0	176	58	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	65	512	512	2406	0	0	0	0	0	0	0	0	9	9	9	60	0	47	91	55	0	0	0	0	0	0	0	0	0	0	0	0	70	0	25
1237d5925a7176fced9dda961a86c684	0	0	0	0	38	192	142	243	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	113	203	3027	283	0	0	0	0	0
a36b38f754f6abd278aeb9dbc7696343	0	0	197	104	61	0	125	0	115	177	0	240	0	0	170	93	0	74	0	0	0	0	0	0	0	0	0	0	0	0	32	80	0	344	177	729	729	230	230	230	230	230	308	0	0	0	0	0	0	83	0	0	149	0	0	0	0	0	0	0	0	0	42	64	0	91
96cbccca68ad868a78bb0604e4a41cf5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	21	47	23	63	607	880	637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	57	112	0	93	85	161	94	0	0	0	0	0
ef3fdbe1dcde754d91130cde6a4b4d61	0	0	92	62	0	0	0	0	0	0	0	0	30	104	0	101	125	234	56	69	125	149	0	282	56	96	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	25	0	0	7	153	0	171	178	85	14	114	0	168	0	0	158	0	138	109	0	0	0	173	0
1694836fc379411d2b9aa087d68d571b	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	901	344	886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	259	0	40	362
11f7b172e09b77715d3bb2175a40b409	0	0	0	41	0	112	44	0	0	0	0	11	62	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	277	145	0	270	908	53	214	0	491	0	0	0	0	0	0	0	0	0	0	0
ffd60d684f32e6fd5b47fe90095f9d34	0	0	0	16	0	0	0	32	27	42	100	0	0	0	0	0	729	0	486	0	164	0	0	0	321	75	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	62	0	0	0	0	28	100	46	0	84	0	0	0	0	0	119	0	0
c434ee7f909f455fc2109ef1f741a2d4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1495	49	0	0	0	745	0	0	0	0
f6c10a04d57159c0d64d6bc30c677471	0	0	0	141	96	108	36	0	0	11	0	0	0	0	0	0	0	118	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	220	181	185	0	143	115	108	100	82	224	0	83	185
dc8a2f47b3d1dc2e1f5f805891976b29	0	0	48	73	40	104	147	211	354	109	0	135	0	49	38	29	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	14	0	92	129	0	75	0	0	0	0	70	45	0	0	0	0	16	35	18	68	12	30	0	45	0	32	38	32	0	19	34	0	34	0	0
c6a6705874a49360a01c2b3fd39fe900	0	0	23	0	0	0	0	68	98	88	0	0	0	86	44	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	829	0	0	0	0	228	32	0	0	0	206	45	51	148	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0
6b780e361cfc5f06def718518324bdcb	0	0	0	0	0	0	0	0	0	0	17	0	0	33	0	0	20	49	0	40	37	12	96	54	205	219	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	13	63	0	9	0	0	62	26	57	47	25	30	37	107	146	84	38	87	80
