sample	seqname	count
P13625_1078_S78	seq_000000001	12
P13625_1077_S77	seq_000000002	5
P13625_1077_S77	seq_000000003	20
P13625_1078_S78	seq_000000003	7
P13625_1079_S79	seq_000000004	35
P13625_1080_S80	seq_000000004	37
P13625_1077_S77	seq_000000005	12
P13625_1078_S78	seq_000000005	3
P13625_1079_S79	seq_000000006	20
P13625_1080_S80	seq_000000006	18
P13625_1079_S79	seq_000000007	13
P13625_1080_S80	seq_000000007	22
P13625_1077_S77	seq_000000008	12
P13625_1078_S78	seq_000000008	7
P13625_1080_S80	seq_000000009	6
P13625_1077_S77	seq_000000010	16
P13625_1079_S79	seq_000000010	21
P13625_1080_S80	seq_000000010	24
P13625_1077_S77	seq_000000011	10
P13625_1078_S78	seq_000000011	6
P13625_1079_S79	seq_000000012	9
P13625_1080_S80	seq_000000012	5
P13625_1080_S80	seq_000000013	1
P13625_1079_S79	seq_000000014	51
P13625_1080_S80	seq_000000014	36
P13625_1079_S79	seq_000000015	3
P13625_1077_S77	seq_000000016	1
P13625_1075_S75	seq_000000017	4
P13625_1077_S77	seq_000000017	582
P13625_1078_S78	seq_000000017	242
P13625_1080_S80	seq_000000018	3
P13625_1079_S79	seq_000000019	6
P13625_1077_S77	seq_000000020	3
P13625_1079_S79	seq_000000021	1
P13625_1079_S79	seq_000000022	17
P13625_1080_S80	seq_000000022	28
P13625_1079_S79	seq_000000023	7
P13625_1080_S80	seq_000000023	6
P13625_1077_S77	seq_000000024	10
P13625_1079_S79	seq_000000025	11
P13625_1079_S79	seq_000000026	7
P13625_1077_S77	seq_000000027	18
P13625_1078_S78	seq_000000027	12
P13625_1080_S80	seq_000000027	5
P13625_1075_S75	seq_000000028	690
P13625_1076_S76	seq_000000029	1376
P13625_1075_S75	seq_000000030	3
P13625_1077_S77	seq_000000030	40
P13625_1078_S78	seq_000000030	36
P13625_1079_S79	seq_000000030	8
P13625_1080_S80	seq_000000030	15
P13625_1075_S75	seq_000000031	1511
P13625_1075_S75	seq_000000032	1830
P13625_1080_S80	seq_000000033	2
P13625_1077_S77	seq_000000034	8
P13625_1078_S78	seq_000000034	9
P13625_1075_S75	seq_000000035	1326
P13625_1080_S80	seq_000000036	1
P13625_1076_S76	seq_000000037	1
P13625_1075_S75	seq_000000038	201
P13625_1076_S76	seq_000000038	5692
P13625_1079_S79	seq_000000038	9
P13625_1080_S80	seq_000000038	8
P13625_1076_S76	seq_000000039	143
P13625_1076_S76	seq_000000040	1
P13625_1079_S79	seq_000000041	2
P13625_1080_S80	seq_000000042	1
P13625_1079_S79	seq_000000043	239
P13625_1080_S80	seq_000000043	545
P13625_1080_S80	seq_000000044	1
P13625_1079_S79	seq_000000045	1
P13625_1079_S79	seq_000000046	1
